ID;Data Abertura;Data Fechamento;Tipo;Cliente;Responsavel;Prioridade;Horas;Custo (R$)
3024;01/07/2026;;Hardware;Gama Saude;Elisa Fontes;Critica;11,9;2163,83
3032;04/07/2026;09/07/2026;Telefonia;Fenix Energia;Ana Ribeiro;Alta;4,2;1327,01
3013;24/07/2026;24/07/2026;Acesso;Alfa Log;Carla Menezes;Media;4,6;1415,55
3065;08/07/2026;11/07/2026;Hardware;Alfa Log;Carla Menezes;Media;10,4;342,98
3007;01/07/2026;07/07/2026;Acesso;Alfa Log;Diego Prado;Baixa;5,2;2278,54
3001;05/07/2026;10/07/2026;Rede;Alfa Log;Ana Ribeiro;Media;9,9;2057,70
3012;16/07/2026;22/07/2026;Telefonia;Beta Telecom;Carla Menezes;Alta;1,8;2976,93
3042;06/07/2026;12/07/2026;Acesso;Fenix Energia;Bruno Tavares;Media;12,7;2550,02
3048;06/07/2026;11/07/2026;Software;Alfa Log;Ana Ribeiro;Baixa;9,7;2986,26
3066;21/07/2026;25/07/2026;Acesso;Horizonte Bank;;Baixa;10,2;115,57
3011;27/07/2026;28/07/2026;Hardware;Horizonte Bank;Bruno Tavares;Baixa;13,2;2472,45
3047;22/07/2026;24/07/2026;Acesso;Fenix Energia;Diego Prado;Critica;14,0;2188,95
3044;17/07/2026;17/07/2026;Acesso;Beta Telecom;Elisa Fontes;Baixa;4,1;810,63
3023;08/07/2026;12/07/2026;Software;Horizonte Bank;;Media;4,0;2383,31
3000;06/07/2026;07/07/2026;Rede;Alfa Log;Ana Ribeiro;Baixa;8,9;584,85
3040;27/07/2026;28/07/2026;Software;Cedro Varejo;Elisa Fontes;Alta;9,0;126,76
3056;26/07/2026;28/07/2026;Telefonia;Gama Saude;Elisa Fontes;Media;9,0;2252,78
3060;14/07/2026;18/07/2026;Telefonia;Alfa Log;;Baixa;11,6;2494,18
3022;07/07/2026;10/07/2026;Acesso;Alfa Log;Ana Ribeiro;Critica;12,0;1441,97
3043;06/07/2026;10/07/2026;Telefonia;Beta Telecom;Elisa Fontes;Alta;3,2;2241,51
3009;07/07/2026;09/07/2026;Rede;Alfa Log;Carla Menezes;Critica;1,8;2249,05
3033;01/07/2026;01/07/2026;Acesso;Gama Saude;Carla Menezes;Alta;2,0;1026,91
3052;10/07/2026;12/07/2026;Software;Horizonte Bank;Diego Prado;Alta;7,3;927,70
3003;18/07/2026;23/07/2026;Rede;Gama Saude;Ana Ribeiro;Media;3,3;429,35
3013;24/07/2026;24/07/2026;Acesso;Alfa Log;Carla Menezes;Media;4,6;1415,55
3061;14/07/2026;18/07/2026;Acesso;Horizonte Bank;Ana Ribeiro;Baixa;9,7;1932,85
3020;04/07/2026;05/07/2026;Rede;Delta Industria;Diego Prado;Media;13,8;2560,05
3059;26/07/2026;28/07/2026;Telefonia;Ere Servicos;Carla Menezes;Media;6,2;1073,65
3036;22/07/2026;27/07/2026;Acesso;Horizonte Bank;;Media;11,0;1544,53
3072;10/07/2026;14/07/2026;Acesso;Delta Industria;Diego Prado;Critica;9,7;1957,56
3027;09/07/2026;;Acesso;Horizonte Bank;Diego Prado;Baixa;8,9;1357,16
3045;05/07/2026;08/07/2026;Acesso;Alfa Log;Diego Prado;Critica;12,7;2265,32
3062;22/07/2026;23/07/2026;Acesso;Gama Saude;Elisa Fontes;Baixa;1,6;1553,24
3067;01/07/2026;06/07/2026;Telefonia;Beta Telecom;Diego Prado;Alta;4,7;1952,37
3066;21/07/2026;25/07/2026;Acesso;Horizonte Bank;;Baixa;10,2;115,57
3025;21/07/2026;27/07/2026;Telefonia;Delta Industria;Bruno Tavares;Baixa;6,6;1056,60
3070;26/07/2026;28/07/2026;Acesso;Gama Saude;Diego Prado;Alta;11,1;1848,47
3046;08/07/2026;11/07/2026;Hardware;Alfa Log;Bruno Tavares;Alta;6,8;1835,22
3006;10/07/2026;10/07/2026;Software;Fenix Energia;Elisa Fontes;Critica;12,0;2009,02
3071;10/07/2026;12/07/2026;Rede;Fenix Energia;Elisa Fontes;Baixa;11,7;1955,55
3004;02/07/2026;08/07/2026;Rede;Ere Servicos;Diego Prado;Baixa;2,3;2550,94
3053;17/07/2026;19/07/2026;Hardware;Horizonte Bank;Ana Ribeiro;Alta;3,1;2305,12
3049;11/07/2026;17/07/2026;Rede;Horizonte Bank;Diego Prado;Media;1,0;2320,73
3002;23/07/2026;23/07/2026;Rede;Beta Telecom;Elisa Fontes;Alta;3,2;3058,26
3021;24/07/2026;26/07/2026;Acesso;Ere Servicos;Bruno Tavares;Baixa;9,1;413,43
3050;21/07/2026;22/07/2026;Software;Beta Telecom;Carla Menezes;Alta;6,9;1719,68
3005;21/07/2026;22/07/2026;Software;Fenix Energia;Carla Menezes;Critica;4,0;1174,81
3018;25/07/2026;28/07/2026;Telefonia;Cedro Varejo;Bruno Tavares;Media;10,3;1961,03
3076;13/07/2026;14/07/2026;Hardware;Ere Servicos;;Baixa;9,6;1531,81
3029;04/07/2026;04/07/2026;Software;Delta Industria;Bruno Tavares;Media;7,5;395,39
3075;26/07/2026;28/07/2026;Acesso;Fenix Energia;Elisa Fontes;Baixa;7,8;1592,46
3069;16/07/2026;21/07/2026;Hardware;Cedro Varejo;Ana Ribeiro;Alta;13,4;591,76
3017;19/07/2026;20/07/2026;Hardware;Fenix Energia;Diego Prado;Media;7,4;914,55
3051;25/07/2026;26/07/2026;Software;Gama Saude;Carla Menezes;Critica;3,9;244,49
3030;19/07/2026;22/07/2026;Telefonia;Delta Industria;Diego Prado;Baixa;9,1;2666,43
3034;13/07/2026;17/07/2026;Hardware;Gama Saude;Diego Prado;Media;2,7;2979,79
3014;18/07/2026;22/07/2026;Hardware;Gama Saude;Bruno Tavares;Critica;2,2;1933,56
3035;03/07/2026;09/07/2026;Hardware;Horizonte Bank;Elisa Fontes;Media;11,5;536,34
3064;28/07/2026;28/07/2026;Hardware;Beta Telecom;Bruno Tavares;Critica;0,7;2324,38
3074;19/07/2026;25/07/2026;Rede;Ere Servicos;Bruno Tavares;Media;4,2;2735,69
3063;05/07/2026;10/07/2026;Rede;Gama Saude;Ana Ribeiro;Baixa;9,7;459,61
3059;26/07/2026;28/07/2026;Telefonia;Ere Servicos;Carla Menezes;Media;6,2;1073,65
3015;23/07/2026;;Telefonia;Alfa Log;;Alta;7,5;2788,15
